Sort,Fill,Table & Column,Type,Key/Index,Typical Values,Comments,Proposed Update,Validated?
75,0,"DNATable -
Label1",Text,,User Defined,"Label 1, from the DNA Match view of Edit Person Window. 
",See Change History Tab,Y
76,0,"DNATable -
Label2",Text,,User Defined,"Label 2, from the DNA Match view of Edit Person Window. 
",See Change History Tab,Y
77,0,"DNATable -
DNAProvider",Integer,,"1-6, 998, 999","Provider, from the DNA Match view of Edit Person Window:
1 = 23andMe,
2 = Ancestry,
3 = Family Tree DNA,
4 = Living DNA,
5 = My Heritage,
6 = GEDmatch,
998 = Unknown,
999 = Other",See Change History Tab,Y
78,0,"DNATable -
SharedCM",Float,,"User Defined,
0-4000","Shared Centimorgans (cM), from the DNA Match view of Edit Person Window.",See Change History Tab,Y
79,0,"DNATable -
SharedPercent",Float,,"User Defined,
0-100","Shared Percentage, from the DNA Match view of Edit Person Window.",See Change History Tab,Y
80,0,"DNATable -
LargeSeg",Float,,"User Defined,
0-500","Largest Segment (cM), from the DNA Match view of Edit Person Window.",See Change History Tab,Y
81,0,"DNATable -
SharedSegs",Integer,,"User Defined,
0-100","Shared Segments, from the DNA Match view of Edit Person Window.",See Change History Tab,Y
82,0,"DNATable -
Date",Text,,Position coded string or free text,[See Date sheet for additional details.],See Change History Tab,Y
83,0,"DNATable -
Relate1",Integer,,0-999,"Relate1, the number of generations between Person 1 (DNATable.ID1) and the Most Recent Common Ancestor (DNATable.CommonAnc). Relate1 and Relate2, taken together with DNATable.CommonAncType, calculate the relationship between the shared DNA Match. ",See Change History Tab,Y
84,0,"DNATable -
Relate2",Integer,,"0,1,2,...","Relate2, the number of generations between Person 2 (DNATable.ID2) and the Most Recent Common Ancestor (DNATable.CommonAnc). Relate1 and Relate2, taken together with DNATable.CommonAncType, calculate the relationship between the shared DNA Match. 
[See Table for additional details.]",See Change History Tab,Y
85,0,"DNATable -
CommonAnc",Integer,Foreign Key,"0,1,2,...","Most Recent Common Ancestor (MRCA) of Person1 and Person2 of the DNA Match. Link to Primary Key of table based on DNATable.CommonAncType: 
0 = PersonTable.PersonID,
1 = FamilyTable.FamilyID

Note: CommonAnc = 0 when both Relate1 and Relate2 = 0 (ie when no RM-defined Tree Relationship has been identified).",See Change History Tab,Y
86,0,"DNATable -
CommonAncType",Integer,,"0,1","Common Ancestor Type. When DNATable.CommonAnc > 0: 
0 = Single MRCA (ie Half Relationship) identified in RM Tree,
1 = Couple MRCA identified in RM Tree

Note: CommonAncType also = 0 when DNATable.CommonAnc=0 (ie when no RM-defined Tree Relationship has been identified).",See Change History Tab,Y
87,0,"DNATable -
Verified",Integer,,0,Not Implemented,See Change History Tab,Y
88,0,"DNATable -
Note",Text,,User Defined,"DNA Note, from the DNA Match view of Edit Person Window. 
 User Interface supports line breaks and formatting tags.",See Change History Tab,Y
89,0,"DNATable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",See Change History Tab,Y
90,1,"EventTable -
EventID",Integer,Primary Key,"1,2,3...",Event Identification Number,,
91,1,"EventTable -
EventType",Integer,"Foreign Key,
idxOwnerEvent","1,2,3...",Link to FactTypeID in FactTypeTable,,
92,1,"EventTable -
OwnerType",Integer,,"0,1","0 = Person,
1 = Family",,
93,1,"EventTable -
OwnerID",Integer,"Foreign Key,
idxOwnerDate,
idxOwnerEvent","1,2,3...","Link based on OwnerType:
0 = PersonID in PersonTable,
1 =  FamilyID in FamilyTable",,
94,1,"EventTable -
FamilyID",Integer,Foreign Key,"0,1,2,...","Link based on OwnerType:
0 = not applicable or not assigned to event,
Else = FamilyID in FamilyTable (Set via Parents listbox in Edit Person Fact pane for events such as Adoption or LDS Seal to Parents)",,
95,1,"EventTable -
PlaceID",Integer,Foreign Key,"0,1,2,...","0 if no Place has been assigned to event, 
else PlaceID in PlaceTable",,
96,1,"EventTable -
SiteID",Integer,Foreign Key,"0,1,2,...","0 if no Place Details assigned to event, 
else PlaceID (of Place Details) in PlaceTable",,
97,1,"EventTable -
Date",Text,,Position coded string or free text,[See Date sheet for additional details.],,
98,1,"EventTable -
SortDate",BigInt,idxOwnerDate,18 digits,Number representing a user entered date that forces an event into a position relative to other events in lists sorted on the Date field.,,
99,1,"EventTable -
IsPrimary",Integer,,"0,1","Primary checkbox in Edit Person Fact pane:
0 = Not checked (default),
1 = Checked. (Used to suppress from reports other conflicting facts of the same type.)",,
100,1,"EventTable -
IsPrivate",Integer,,"0,1","Private checkbox in Edit Person Fact pane:
0 = Not checked (default),
1 = Checked. (Used to optionally suppress from reports events that are considered “private”.)",,
101,1,"EventTable -
Proof",Integer,,"0,1,2,3","Proof listbox in Edit Person Fact pane:
0 = Blank, 
1 = Proven, 
2 = Proven False, 
3 = Disputed",,
102,1,"EventTable -
Status",Integer,,0-12,"0 (default),
Else = status of LDS events: e.g. 1-Submitted, 8-DNS, 12-Cleared",,
103,1,"EventTable -
Sentence",Text,,Sentence Template Language,"Customised sentence for this event. 
User Interface supports line breaks and formatting tags.",See Change History Tab,Y
104,1,"EventTable -
Details",Text,,User Defined,Content of Description field in Edit Person Fact pane,,
105,1,"EventTable -
Note",Text,,User Defined,"Content of Note in Edit Person Fact Pane. 
User Interface supports line breaks and formatting tags.",,
106,1,"EventTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
107,0,"ExclusionTable -
RecID",Integer,Primary Key,"1, 2, 3...",Record Identification Number,,
108,0,"ExclusionTable -
ExclusionType",Integer,idxExclusionIndex,"1,2","Exclusion Type:
1 = Person member of ""Not a duplicate list"", from Merge Duplicates tool,
2 = Person member of ""Not a problem list"", from Problem List tool",,
109,0,"ExclusionTable -
ID1",Integer,"Foreign Key,
idxExclusionIndex","1, 2, 3...","Identification Number 1, based on ExclusionType:
1 = PersonTable.PersonID of Person 1 from potential merge,
2 = PersonTable.PersonID of person marked in ""Not a problem list""",,
110,0,"ExclusionTable -
ID2",Integer,"Foreign Key,
idxExclusionIndex",Built in,"Identification Number 2, based on ExclusionType:
1 = PersonTable.PersonID of Person 2 from potential merge, 
2 = Problem filter matched (Link to additional details.)",,
111,0,"ExclusionTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
112,1,"FANTable -
FanID",Integer,Primary Key,"1,2,3,...","RecordID for Friends, Associations, Neighbours links in support of the Association fact type. ",,
113,1,"FANTable -
ID1",Integer,"Foreign Key,
idxFanId1","1,2,3,...",Link to PersonTable.PersonID for node1 of association,,
114,1,"FANTable -
ID2",Integer,"Foreign Key,
idxFanId2","1,2,3,...",Link to PersonTable.PersonID for node2 of association,,
115,1,"FANTable -
FanTypeID",Integer,Foreign Key,"1,2,3,...",Link to FANTypeTable.FanTypeID,,
116,1,"FANTable -
PlaceID",Integer,Foreign Key,"0,1,2,3,...","0 = Place Blank,
Else, link to PlaceTable.PlaceID for PlaceType=0",,
117,1,"FANTable -
SiteID",Integer,Foreign Key,"0,1,2,3,...","0 = Place Blank,
Else, link to PlaceTable.PlaceID for PlaceType=2",,
118,1,"FANTable -
Date",Text,,Position coded string or free text,"Date, from Associations. [See Date sheet for additional details.]",,
119,1,"FANTable -
SortDate",BigInT,,18 digits,Number representing a user entered date that forces an event into a position relative to other events in lists sorted on the Date field.,,
120,1,"FANTable -
Description",Text,,User Defined,"Description, from Association pane of Edit Person window. ",,
121,1,"FANTable -
Note",Text,,User Defined,"Note, from Association pane of Edit Person window. User Interface supports line breaks and formatting tags.",,
122,1,"FANTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
123,0,"FANTypeTable -
FANTypeID",Integer,Primary Key,"1-15, 999", Association ID,,
124,0,"FANTypeTable -
Name",Text,idxFANTypeName,"1-15, 999","Association Type, based on FANTypeID:
1 = Friends
2 = Neighbors 
3 = Employment 
4 = Education 
5 = Enslavement 
6 = Household 
7 = Classmates 
8 = Coworkers 
9 = Apprenticeship 
10 = Godparent 
11 = Relative 
12 = DNA Match 
13 = Medical 
14 = Grave neighbors 
15 = Rental 
999 = Associates",,
125,0,"FANTypeTable -
Role1",Text,,"1-15, 999","Role 1 and Role2 Names, based on FANTypeID:
1 = Friend / Friend 
2 = Neighbor / Neighbor 
3 = Employer / Employee 
4 = Teacher / Student 
5 = Enslaver / Enslaved person 
6 = Household member / Household member 
7 = Classmate / Classmate 
8 = Coworker / Coworker 
9 = Master / Apprentice 
10 = Godparent / Godchild 
11 = Relative / Relative 
12 = DNA match / DNA match 
13 = Doctor / Patient 
14 = Burial / Burial 
15 = Landlord / Tenant 
999 = Associate / Associate",,
126,0,"FANTypeTable -
Role2",Text,,"1-15, 999",Role2 name (see FANTableType.Role1 above),,
127,0,"FANTypeTable -
Sentence1",Text,,Sentence Template Language,Template for Role1,See Change History Tab,Y
128,0,"FANTypeTable -
Sentence2",Text,,Sentence Template Language,Template for Role2,See Change History Tab,Y
129,0,"FANTypeTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
130,1,"FactTypeTable -
FactTypeID",Integer,Primary Key,"1,2,3...","Fact Type Identification Number:
Built-in < 1000, 
User-defined > = 1000",,
131,1,"FactTypeTable -
OwnerType",Integer,,"0,1","Owner Type:
0 = Individual,
1 = Family",,
132,1,"FactTypeTable -
Name",Text,idxFactTypeName,"Built-in or
User Defined","Name, from Edit Fact Type window",,
133,1,"FactTypeTable -
Abbrev",Text,idxFactTypeAbbrev,"Built-in or
User Defined","Abbreviation, from Edit Fact Type window",,
134,1,"FactTypeTable -
GedcomTag",Text,idxFactType,Character string,"GEDCOM Tag = ""EVEN"" for some built-in and all user defined Fact Types ",,
135,1,"FactTypeTable -
UseValue",Integer,,"0,1","""Use description field"" checkbox, from Edit Fact Type window:
0 = No (unchecked)
1 = Yes (checked)",,
136,1,"FactTypeTable -
UseDate",Integer,,"0,1","""Use date field"" checkbox, from Edit Fact Type window:
0 = No (unchecked)
1 = Yes (checked)",,
137,1,"FactTypeTable -
UsePlace",Integer,,"0,1","""Use place field"" checkbox, from Edit Fact Type window:
0 = No (unchecked)
1 = Yes (checked)",,
138,1,"FactTypeTable -
Sentence",Text,,Sentence Template Language,"Sentence template for this role, from Edit Role Type window for Role name of Principal. User Interface supports line breaks and formatting tags.",See Change History Tab,Y
139,1,"FactTypeTable -
Flags",Integer,,-1 to -63,6-bit position-coded number for Include settings for Fact Type.,,
140,1,"FactTypeTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
141,0,"FamilySearchTable -
LinkID",Integer,Primary Key,"1,2,3...",LinkID Identification Number,,
142,0,"FamilySearchTable -
LinkType",Integer,,0,0 = Person,,
143,0,"FamilySearchTable -
rmID",Integer,"Foreign Key,
idxLinkRmId","1,2,3...","Link based on LinkType:
0 = PersonTable.PersonID",,
144,0,"FamilySearchTable -
fsID",Text,idxLinkfsID,"1,2,3...",FamilySearch ID from FamilySearch Family Tree connection,,
145,0,"FamilySearchTable -
Modified",Integer,,"0,1","0 = Default,
1 = Mismatch exists between FamilySearch and RM record details (Event date, place, etc)
Note: Modified flag resets to ""0"" after any data for this person is shared via the FS API, even if data mismatches still exist.",See Change History Tab,Y
146,0,"FamilySearchTable -
fsVersion",Text,,"18 digit integer, 
40-45 char hexadecimal + '-GZIP'",FamilySearch Version,,
147,0,"FamilySearchTable -
fsDate",Float,,0.0,,,
148,0,"FamilySearchTable -
Status",Integer,,"0,4","0 = Default,
4 = Person Record imported from FamilySearch",See Change History Tab,Y
149,0,"FamilySearchTable -
UTCModDate",Float,,"[d]{5}.[d]{10}
e.g.: 44993.9143704283","Coordinated Universal Time from system, modified: 
SELECT julianday('now') - 2415018.5",,
150,0,"FamilySearchTable -
 TreeID",Text,,Blank,Not Implemented,See Change History Tab,Y
151,1,"FamilyTable -
FamilyID",Integer,Primary Key,"1, 2, 3...",Family Identification Number,,
